Model loaded
loaded succeed
succeed 八
八 聚
聚 网
网 揭秘
揭秘 2017
2017 江苏
江苏 创业
创业 大赛
大赛 高手
高手 如云
如云 激情
激情 碰撞
碰撞 创业者
创业者 的
的 盛宴
盛宴 与
与 挑战
挑战 创业
创业 2025
2025 12
12 21
21 0°
0° 一
一 大赛
大赛 背景
背景 与
与 意义
意义 2017年
2017年 江苏
江苏 创业
创业 大赛
大赛 是
是 一
一 场
场 在
在 江苏省
江苏省 举办
举办 的
的 创新
创新 创业
创业 比赛
比赛 旨在
旨在 激发
激发 全省
全省 范围
范围 内
内 的
的 创新
创新 活力
活力 促进
促进 科技
科技 成果
成果 转化
转化 培育
培育 一
一 批
批 具有
具有 创新
创新 精神
精神 和
和 创业
创业 能力
能力 的
的 优秀
优秀 人
人 才
才 此次
此次 大赛
大赛 不
不 仅
仅 为
为 参赛者
参赛者 提供
提供 了
了 一个
一个 展示
展示 才华
才华 的
的 平台
平台 也
也 成为
成为 了
了 推动
推动 江苏省
江苏省 创新
创新 创业
创业 发展
发展 的
的 有力
有力 举措
举措 二
二 参赛者
参赛者 阵容
阵容 2017年
2017年 江苏
江苏 创业
创业 大赛
大赛 吸引
吸引 了
了 来自
来自 全国
全国 各地
各地 的
的 优秀
优秀 创业
创业 团队
团队 报名
报名 参赛
参赛 参赛者
参赛者 涵盖
涵盖 了
了 电子
电子 信息
信息 生物
生物 医药
医药 新
新 能源
能源 新
新 材料
材料 现代
现代 农业
农业 等
等 多
多 个
个 领域
领域 其中
其中 既
既 有
有 经验
经验 丰富
丰富 的
的 创业者
创业者 也
也 有
有 初出茅庐
初出茅庐 的
的 青年
青年 才俊
才俊 高手
高手 如云
如云 竞争
竞争 激烈
激烈 三
三 大赛
大赛 亮点
亮点 与
与 精彩
精彩 瞬间
瞬间 1
1 项目
项目 创新性
创新性 突出
突出 参赛
参赛 项目
项目 在
在 技术
技术 产品
产品 服务
服务 等
等 方面
方面 都
都 展现
展现 了
了 较
较 高
高 的
的 创新性
创新性 如
如 智能
智能 家
家 居
居 健康
健康 医疗
医疗 环保
环保 材料
材料 等
等 2
2 商业
商业 模式
模式 多样
多样 参赛
参赛 团队
团队 在
在 商业
商业 模式
模式 上
上 呈现
呈现 出
出 多元化
多元化 的
的 特点
特点 既
既 有
有 以
以 技术
技术 创新
创新 为
为 核心
核心 的
的 商业
商业 模式
模式 也
也 有
有 以
以 市场
市场 驱动
驱动 为
为 核心
核心 的
的 商业
商业 模式
模式 3
3 团队
团队 协作
协作 精神
精神 参赛
参赛 团队
团队 在
在 短
短 时间
时间 内
内 展现
展现 出
出 了
了 高效
高效 的
的 团队
团队 协作
协作 能力
能力 为
为 项目
项目 成功
成功 提供
提供 了
了 有力
有力 保障
保障 4
4 专
专 家
家 评审
评审 严格
严格 大赛
大赛 邀请
邀请 了
了 业内
业内 知名
知名 专
专 家
家 学者
学者 担任
担任 评委
评委 对
对 参赛
参赛 项目
项目 进行
进行 了
了 严格
严格 评审
评审 确保
确保 了
了 大赛
大赛 的
的 公正性
公正性 四
四 创业者
创业者 盛宴
盛宴 与
与 挑战
挑战 1
1 盛宴
盛宴 2
2 挑战
挑战 五
五 总结
总结 2017年
2017年 江苏
江苏 创业
创业 大赛
大赛 的
的 成功
成功 举办
举办 为
为 创业者
创业者 提供
提供 了
了 一个
一个 展示
展示 才华
才华 实现
实现 梦想
梦想 的
的 平台
平台 在
在 未
未 来
来 的
的 创业
创业 道路
道路 上
上 相信
相信 参赛者
参赛者 们
们 将
将 不
不 断
断 努力
努力 为
为 推动
推动 江苏省
江苏省 乃至
乃至 全国
全国 创新
创新 创业
创业 发展
发展 贡献
贡献 力量
力量 相关
相关 链接
链接 
